"Survey"	"Date"	"Station"	"Temp"	"Top EC"	"Bottom EC"	"Secchi"	"Turbidity"	"Latitude"	"Longitude"	"Comments"
6	7/10/1995 0:00:00	706	20.70	113	115	92				
6	7/10/1995 0:00:00	707	20.60	117	120	90				
6	7/10/1995 0:00:00	711	20.10	107	130	69				
6	7/10/1995 0:00:00	812	21.20	116	133	86				
6	7/10/1995 0:00:00	815	20.60	108	117	91				
6	7/10/1995 0:00:00	906	21.80	271	251	81				
6	7/10/1995 0:00:00	919	19.30	93	149	81				
7	7/17/1995 0:00:00	809	21.90	136	141	78				
7	7/17/1995 0:00:00	902	23.30	155	152	79				
7	7/17/1995 0:00:00	910	22.00	138	139	56				
7	7/17/1995 0:00:00	912	21.40	142	142	49				
7	7/17/1995 0:00:00	914	23.00	205	203	78				
7	7/17/1995 0:00:00	915	23.70	188	183	54				
7	7/17/1995 0:00:00	918	23.50	214	206	42				
7	7/18/1995 0:00:00	704	21.30	110	112	64				
7	7/18/1995 0:00:00	706	20.70	114	116	61				
7	7/18/1995 0:00:00	707	21.40	112	118					
7	7/18/1995 0:00:00	812	21.60	140	137	68				
7	7/18/1995 0:00:00	815	20.90	138	117	72				
7	7/18/1995 0:00:00	906	20.60	146	143	71				
7	7/18/1995 0:00:00	919	19.70	89	88	61				
7	7/19/1995 0:00:00	501	20.40	371	476					
7	7/19/1995 0:00:00	504	20.60	161	182	58				
7	7/19/1995 0:00:00	513	20.30	122	120	87				
7	7/19/1995 0:00:00	520	21.70	136	134	57				
7	7/19/1995 0:00:00	801	21.10	135	132	76				
7	7/19/1995 0:00:00	804	21.30	137	135	74				
7	7/20/1995 0:00:00	405	21.00	4780	11160	62				
7	7/20/1995 0:00:00	418	20.20	1729	3750	35				
7	7/20/1995 0:00:00	602	20.50	380	462	49				
7	7/20/1995 0:00:00	606	21.20	738	712	31				
7	7/20/1995 0:00:00	609	20.50	560	696	32				
7	7/20/1995 0:00:00	610	18.90	161	153	42				
7	7/21/1995 0:00:00	323	19.30	16340	22500	40				
7	7/21/1995 0:00:00	328	19.20	10540	25400	45				
7	7/21/1995 0:00:00	336	18.20	7950	18780	52				
7	7/21/1995 0:00:00	340	19.00	10720	12950	52				
7	7/21/1995 0:00:00	411	20.20	228	2650	57				
7	7/21/1995 0:00:00	508	20.20	110	176	72				
7	7/24/1995 0:00:00	703	21.00	102	104	72				
7	7/24/1995 0:00:00	705	20.80	111	107	62				
7	7/24/1995 0:00:00	711	20.00	98	99	62				
7	7/24/1995 0:00:00	716	19.40	148	183	22				
7	7/24/1995 0:00:00	802	20.60	138	138	62				
7	7/24/1995 0:00:00	901	20.30	125	127	99				
8	7/31/1995 0:00:00	809	22.60	122	128	66				
8	7/31/1995 0:00:00	902	23.10	128	127	83				
8	7/31/1995 0:00:00	906	25.30	156	162	83				
8	7/31/1995 0:00:00	910	25.60	325	319	51				
8	7/31/1995 0:00:00	912		399	460	38				
8	7/31/1995 0:00:00	914	24.60	212	211	63				
8	7/31/1995 0:00:00	915	23.70	135	134	65				
8	7/31/1995 0:00:00	919	23.60	83	94	99				
8	8/1/1995 0:00:00	704	22.90	118	119	44				
8	8/1/1995 0:00:00	706	23.50	118	120	42				
8	8/1/1995 0:00:00	707	23.10	119	159	48				
8	8/1/1995 0:00:00	711	22.80	116	119	70				
8	8/1/1995 0:00:00	812	22.70	114	114	73				
8	8/1/1995 0:00:00	815	22.50	116	114	82				
8	8/3/1995 0:00:00	405	21.80	13810	16910	32				
8	8/3/1995 0:00:00	418	21.40	9320	16740	81				
8	8/3/1995 0:00:00	602	21.50	1918	3230	33				
8	8/3/1995 0:00:00	606	22.80	1099	1273	33				
8	8/3/1995 0:00:00	609	22.60	835	853	28				
8	8/3/1995 0:00:00	610	22.20	349	426	35				
8	8/4/1995 0:00:00	323	19.20	26900	28900	76				
8	8/4/1995 0:00:00	328	18.70	28600	28000	54				
8	8/4/1995 0:00:00	329	18.20	28900	27500	49				
8	8/4/1995 0:00:00	334	18.80	28100	27600	30				
8	8/4/1995 0:00:00	335	18.10	28900	28400	54				
8	8/4/1995 0:00:00	336	19.20	23900	24600	64				
8	8/4/1995 0:00:00	340	19.60	18730	21000	48				
8	8/7/1995 0:00:00	411	20.50	1558	2310	32				
8	8/7/1995 0:00:00	501	20.60	1315	1875	42				
8	8/7/1995 0:00:00	504	21.30	399	580	47				
8	8/7/1995 0:00:00	508	22.00	241	261	61				
8	8/7/1995 0:00:00	513	23.80	250	187	56				
8	8/7/1995 0:00:00	519	21.40	361	369	48				
8	8/7/1995 0:00:00	520	22.70	245	244	53				
8	8/7/1995 0:00:00	801	23.10	234	223	66				
8	8/8/1995 0:00:00	703	22.60	141	144	55				
8	8/8/1995 0:00:00	705	23.10	123	127	69				
8	8/8/1995 0:00:00	716	23.40	183	197	27				
8	8/8/1995 0:00:00	802	22.20	129	136	69				
8	8/8/1995 0:00:00	804	24.10	136	138	71				
8	8/8/1995 0:00:00	901	22.90	122	129	90				
1	4/10/1996 0:00:00	809	15.10	159	200	68				
1	4/10/1996 0:00:00	901	15.70	171	164	64				
1	4/10/1996 0:00:00	902	16.50	204	199	84				
1	4/10/1996 0:00:00	910	17.80	316	332	67				
1	4/10/1996 0:00:00	912	17.60	351	314	56				
1	4/10/1996 0:00:00	914	17.90	281	288	93				
1	4/10/1996 0:00:00	915	18.10	263	259	62				
1	4/10/1996 0:00:00	918	18.20	328	329	72				
1	4/11/1996 0:00:00	705	15.60	142	140	68				
1	4/11/1996 0:00:00	707	15.90	151	162	74				
1	4/11/1996 0:00:00	711	15.70	104	111	71				
1	4/11/1996 0:00:00	716	16.80	245	232	34				
1	4/11/1996 0:00:00	812	15.90	147	149	60				
1	4/11/1996 0:00:00	815	15.90	151	153	64				
1	4/11/1996 0:00:00	906	16.30	233	233	94				
1	4/11/1996 0:00:00	919	14.80	119	120	68				
1	4/12/1996 0:00:00	508	16.40	158	159	55				
1	4/12/1996 0:00:00	513	15.70	146	146	57				
1	4/12/1996 0:00:00	519	16.00	172	171	33				
1	4/12/1996 0:00:00	520	16.30	163	166	50				
1	4/12/1996 0:00:00	703	15.30	150	151	60				
1	4/12/1996 0:00:00	704	15.00	133	133	72				
1	4/12/1996 0:00:00	706	15.00	140	132	61				
1	4/12/1996 0:00:00	801	15.20	165	167	80				
1	4/13/1996 0:00:00	418	18.60	668	8340	18				
1	4/13/1996 0:00:00	602	17.60	208	189	27				
1	4/13/1996 0:00:00	606	17.60	512	583	23				
1	4/13/1996 0:00:00	609	16.80	814	816	28				
1	4/13/1996 0:00:00	610	15.70	212	207	27				
1	4/13/1996 0:00:00	802	14.90	166	143	71				
1	4/13/1996 0:00:00	804	15.70	167	168	80				
1	4/14/1996 0:00:00	323	14.80	11430	16600	40				
1	4/16/1996 0:00:00	340	15.50	8140	8730	30				
1	4/16/1996 0:00:00	405	15.80	543	1100	12				
1	4/16/1996 0:00:00	411	16.00	464	686	24				
1	4/16/1996 0:00:00	501	16.20	327	360	27				
1	4/16/1996 0:00:00	504	16.00	170	190	41				
1	4/17/1996 0:00:00	328	14.90	14000	14360	20				
1	4/17/1996 0:00:00	329	15.00	12320	12110	18				
1	4/17/1996 0:00:00	334	15.30	13790	14990	20				
